geneID,sampleID,pValue,padjust,aberrant
ENSG00000223659.1,GTEX-XV7Q-1826-SM-4BRUV,7.934645888983817e-12,3.5813809334463323e-09,TRUE
ENSG00000240361.1,GTEX-WHPG-2626-SM-3NMBR,1.3921652456085785e-11,6.28367558752862e-09,TRUE
ENSG00000239664.2,GTEX-ZAB5-2626-SM-5KM3Y,7.817711963016047e-11,3.528601648927104e-08,TRUE
ENSG00000268663.1,GTEX-13OW8-1026-SM-5J1NQ,9.605054230177367e-11,4.335336266541411e-08,TRUE
ENSG00000269732.1,GTEX-12ZZX-2426-SM-5GCOE,6.225729161194526e-09,2.8100444590298433e-06,TRUE
ENSG00000236679.2,GTEX-13FTW-0326-SM-5K7UW,1.9639001919072076e-07,8.86425783947472e-05,TRUE
ENSG00000224813.2,GTEX-VJYA-1526-SM-3GIJV,3.982309173313723e-07,0.00017974546493870988,TRUE
ENSG00000223972.4,GTEX-VUSG-2326-SM-4KL1U,7.174822805473065e-07,0.0003238427266433183,TRUE
ENSG00000236601.1,GTEX-WH7G-2026-SM-3NMBL,1.446484299676267e-06,0.000652885001280568,TRUE
ENSG00000235146.2,GTEX-11UD2-2526-SM-5CVNU,2.6682782212344867e-06,0.0012043537771391495,TRUE
ENSG00000235146.2,GTEX-11DXZ-2026-SM-5987S,3.0677316099392986e-06,0.0013846510166283278,TRUE
ENSG00000236601.1,GTEX-WYVS-1626-SM-3NM9R,1.0023345865665006e-05,0.004524136335116037,TRUE
ENSG00000269831.1,GTEX-WEY5-2326-SM-3GIKK,1.2002751266001384e-05,0.005417560548308402,TRUE
ENSG00000229344.1,GTEX-ZPU1-1126-SM-4YCF3,1.4191265066073617e-05,0.006405367906799944,TRUE
ENSG00000236743.1,GTEX-WEY5-2326-SM-3GIKK,3.944289880193997e-05,0.00890147132622777,TRUE
ENSG00000225630.1,GTEX-13OW8-1026-SM-5J1NQ,6.331350379025354e-05,0.014288588203974389,TRUE
ENSG00000236679.2,GTEX-11DXZ-2026-SM-5987S,0.0004219833326776384,0.09523317631490315,FALSE
ENSG00000241599.1,GTEX-WYBS-0626-SM-3NMAS,0.00021485871729997694,0.09697860802978077,FALSE
ENSG00000230092.3,GTEX-WFG8-2126-SM-3GIKQ,0.00024711845259541574,0.11153935875786482,FALSE
ENSG00000186891.9,GTEX-YF7O-1526-SM-5IFI6,0.000276785489285704,0.12492986931637172,FALSE
ENSG00000187608.5,GTEX-X4EP-0626-SM-3P621,0.0006431496066578011,0.14514596938948884,FALSE
ENSG00000127054.14,GTEX-X4EP-0626-SM-3P621,0.000615354273979275,0.14514596938948884,FALSE
ENSG00000230368.2,GTEX-ZAB5-2626-SM-5KM3Y,0.0007392152160821056,0.16682605106961584,FALSE
ENSG00000177757.1,GTEX-UPK5-0426-SM-3GAEK,0.0005106149936498286,0.23047112979902834,FALSE
ENSG00000229905.1,GTEX-VJYA-1526-SM-3GIJV,0.001106618498502222,0.24974160451427732,FALSE
ENSG00000229376.3,GTEX-11UD2-2526-SM-5CVNU,0.0011118357185106338,0.2509190264512577,FALSE
ENSG00000237973.1,GTEX-11DXZ-2026-SM-5987S,0.0017912425550284847,0.2694983503785274,FALSE
ENSG00000225972.1,GTEX-ZPU1-1126-SM-4YCF3,0.0014485173568755565,0.3269013208820449,FALSE
ENSG00000235373.1,GTEX-UPK5-0426-SM-3GAEK,0.0015507775891561125,0.349979404722424,FALSE
ENSG00000225630.1,GTEX-WHSB-1326-SM-3LK6W,0.0008333463403295986,0.37613911647365633,FALSE
ENSG00000269732.1,GTEX-WYJK-0526-SM-3NM8Z,0.0009085423103413778,0.4100795615848972,FALSE
ENSG00000230368.2,GTEX-11EM3-1226-SM-5N9DD,0.0024032427698446436,0.542363701845467,FALSE
ENSG00000078808.12,GTEX-11EM3-1226-SM-5N9DD,0.002204152164205858,0.542363701845467,FALSE
ENSG00000237973.1,GTEX-VJYA-1526-SM-3GIJV,0.004187597606375474,0.6197631330685168,FALSE
ENSG00000224956.5,GTEX-VJYA-1526-SM-3GIJV,0.005492407635301361,0.6197631330685168,FALSE
ENSG00000225972.1,GTEX-11DXZ-2026-SM-5987S,0.00558807323643823,0.6305580369839499,FALSE
ENSG00000225972.1,GTEX-WI4N-2726-SM-3LK7Y,0.0015225170707116752,0.687203144813773,FALSE
ENSG00000160087.16,GTEX-WYJK-0526-SM-3NM8Z,0.004744681113387865,0.7138529226768232,FALSE
ENSG00000250575.1,GTEX-WYJK-0526-SM-3NM8Z,0.0036878240063822508,0.7138529226768232,FALSE
ENSG00000230415.1,GTEX-WEY5-2326-SM-3GIKK,0.0047910369303374185,0.7208273082301828,FALSE
ENSG00000228794.4,GTEX-ZAB5-2626-SM-5KM3Y,0.010775068315018387,0.7610643650970447,FALSE
